"","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985"
"PMarriage(10,000)",1224.71,1306.74,1346.93,1323.59,1302.36,1241,1212.4,1098.3,991.4,945,823.1,867.2,811.4,786,805,848.5,885.3,891.7,914.1,938.7,934.1,932.4,915.4,957.5,953.6,951.1,937.2,899.2,926.7,884,831.3
"PMarriage_Mainland(10,000)",1220.59,1302.04,1341.43,1318.27,1297.48,1236.1,1207.5,1093.2,986.3,938.2,816.6,860.8,803.5,778.8,797.11,842,879.91,886.66,909.06,933.96,929.71,929,912.16,954.5,950.98,948.69,935.19,897.18,924.74,882.29,829.06
"IMarriage_First_Mainland(10,000)",2108.97,2286.81,2385.96,2361.17,2309.88,2200.9,2168.8,1972.5,1779.7,1705.6,1483,1569.6,1483.9,1440.3,1481.74,1581.39,1659.36,1675.37,1725.95,1781.72,1776.07,1779.33,1747.01,1832.1,1820.32,1819.13,1796,1728.51,1788.09,1707.51,1607.63
"IMarriage_Re_Mainland(10,000)",340.44,326.68,307.89,286.02,294.85,281.1,256,224.1,203.1,184.4,163.1,152,123.3,117.1,112.49,102.62,100.46,97.94,92.16,86.2,83.35,78.67,77.32,76.91,81.65,78.24,74.4,65.84,61.39,57.08,50.48
"PMarriage_Other(10,000)",4.12,4.7,5.5,5.33,4.88,4.9,4.92,5.1,5.11,6.82,6.43,6.35,7.83,7.28,7.87,6.49,5.42,5.03,5.08,4.72,4.4,3.38,3.28,2.96,2.64,2.38,2,2,2,1.7,2.22
"PDivorce(10,000)",384.14,363.68,350.01,310.38,287.4,267.8,246.8,226.9,209.8,191.3,178.5,166.5,133,117.7,125.05,121.29,120.15,119.2,119.9,113.4,105.6,98.2,91,84.96,83.1,80,75.3,65.86,58.15,50.57,45.79
