"","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985"
"Birth_Rate(1/1,000)",12.07,12.37,12.08,12.1,11.93,11.9,11.95,12.14,12.1,12.09,12.4,12.29,12.41,12.86,13.38,14.03,14.64,15.64,16.57,16.98,17.12,17.7,18.09,18.24,19.68,21.06,21.58,22.37,23.33,22.43,21.04
"Death_Rate(1/1,000)",7.11,7.16,7.16,7.15,7.14,7.11,7.08,7.06,6.93,6.81,6.51,6.42,6.4,6.41,6.43,6.45,6.46,6.5,6.51,6.56,6.57,6.49,6.64,6.64,6.7,6.67,6.54,6.64,6.72,6.86,6.78
